,Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country,region,sub-region,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
76,2020,Intentional self-harm,85-89,GBR,Female,44,,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
77,2020,Intentional self-harm,85-89,GBR,Male,122,,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
78,2020,Intentional self-harm,90-94,GBR,Female,24,,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
79,2020,Intentional self-harm,90-94,GBR,Male,62,,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
80,2020,Intentional self-harm,95+,GBR,Female,0,,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
81,2020,Intentional self-harm,95+,GBR,Male,16,,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
82,2020,Intentional self-harm,All,GBR,Female,2674,67870068.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
83,2020,Intentional self-harm,All,GBR,Male,8374,66287000.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
84,2019,Intentional self-harm,10-14,EGY,Female,0,4509578.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
85,2019,Intentional self-harm,15-19,EGY,Female,9,4294459.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
86,2019,Intentional self-harm,20-24,EGY,Female,2,4116019.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
87,2019,Intentional self-harm,25-29,EGY,Female,1,3875125.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
88,2019,Intentional self-harm,3,EGY,Female,0,1310544.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
89,2019,Intentional self-harm,30-34,EGY,Female,1,3681815.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
90,2019,Intentional self-harm,35-39,EGY,Female,1,3332865.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
91,2019,Intentional self-harm,40-44,EGY,Female,0,2731125.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
92,2019,Intentional self-harm,45-49,EGY,Female,1,2205718.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
93,2019,Intentional self-harm,5-9,EGY,Female,1,5433502.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
94,2019,Intentional self-harm,50-54,EGY,Female,1,1988616.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
95,2019,Intentional self-harm,55-59,EGY,Female,1,1752679.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
96,2019,Intentional self-harm,60-64,EGY,Female,0,1485018.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
97,2019,Intentional self-harm,65-69,EGY,Female,0,1100381.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
98,2019,Intentional self-harm,70-74,EGY,Female,0,650315.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
99,2019,Intentional self-harm,75-79,EGY,Female,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
100,2019,Intentional self-harm,80-84,EGY,Female,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
101,2019,Intentional self-harm,85-89,EGY,Female,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
102,2019,Intentional self-harm,90-94,EGY,Female,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
103,2019,Intentional self-harm,95+,EGY,Female,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
104,2019,Intentional self-harm,All,EGY,Female,18,47953801.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
105,2019,Intentional self-harm,10-14,EGY,Male,6,4925550.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
106,2019,Intentional self-harm,15-19,EGY,Male,7,4682608.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
107,2019,Intentional self-harm,20-24,EGY,Male,5,4418757.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
108,2019,Intentional self-harm,25-29,EGY,Male,6,4096162.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
109,2019,Intentional self-harm,3,EGY,Male,0,1365056.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
110,2019,Intentional self-harm,30-34,EGY,Male,8,3883090.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
111,2019,Intentional self-harm,35-39,EGY,Male,7,3535603.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
112,2019,Intentional self-harm,40-44,EGY,Male,4,2911322.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
113,2019,Intentional self-harm,45-49,EGY,Male,4,2388598.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
114,2019,Intentional self-harm,5-9,EGY,Male,1,5835587.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
115,2019,Intentional self-harm,50-54,EGY,Male,2,2126739.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
116,2019,Intentional self-harm,55-59,EGY,Male,1,1820074.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
117,2019,Intentional self-harm,60-64,EGY,Male,3,1503453.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
118,2019,Intentional self-harm,65-69,EGY,Male,0,1088261.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
119,2019,Intentional self-harm,70-74,EGY,Male,0,634238.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
120,2019,Intentional self-harm,75-79,EGY,Male,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
121,2019,Intentional self-harm,80-84,EGY,Male,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
122,2019,Intentional self-harm,85-89,EGY,Male,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
123,2019,Intentional self-harm,90-94,EGY,Male,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
124,2019,Intentional self-harm,95+,EGY,Male,0,,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
125,2019,Intentional self-harm,All,EGY,Male,54,50948133.0,Egypt,Africa,Northern Africa,2.381,2.536,2.505,1.994,4.328,9.322,0.772,63.0,0.774,-0.198,,0.42,0.313
126,2019,Intentional self-harm,10-14,MUS,Female,0,42074.0,Mauritius,Africa,Sub-Saharan Africa,1.541,1.997,1.0,1.5,6.241,10.072,0.913,63.9,0.893,-0.059,0.81,0.735,0.149
127,2019,Intentional self-harm,15-19,MUS,Female,1,47808.0,Mauritius,Africa,Sub-Saharan Africa,1.541,1.997,1.0,1.5,6.241,10.072,0.913,63.9,0.893,-0.059,0.81,0.735,0.149
128,2019,Intentional self-harm,20-24,MUS,Female,3,47520.0,Mauritius,Africa,Sub-Saharan Africa,1.541,1.997,1.0,1.5,6.241,10.072,0.913,63.9,0.893,-0.059,0.81,0.735,0.149
129,2019,Intentional self-harm,25-29,MUS,Female,1,48163.0,Mauritius,Africa,Sub-Saharan Africa,1.541,1.997,1.0,1.5,6.241,10.072,0.913,63.9,0.893,-0.059,0.81,0.735,0.149
130,2019,Intentional self-harm,3,MUS,Female,0,6168.0,Mauritius,Africa,Sub-Saharan Africa,1.541,1.997,1.0,1.5,6.241,10.072,0.913,63.9,0.893,-0.059,0.81,0.735,0.149
131,2019,Intentional self-harm,30-34,MUS,Female,2,41613.0,Mauritius,Africa,Sub-Saharan Africa,1.541,1.997,1.0,1.5,6.241,10.072,0.913,63.9,0.893,-0.059,0.81,0.735,0.149
